id,url,name,description,ranking,category
103,https://listenaminute.com/,Listen a Minute ,📻📣 Amazing website with 480 short listenings and PDFs to download ⬇️ and more,⭐⭐⭐⭐⭐,listening
104,https://www.bbc.co.uk/learningenglish/english/features/6-minute-english,BBC - Learning English - 6 Minute English Podcast,🍜 Amazing way to practice listening and improve your level,⭐⭐⭐⭐⭐,listening
105,https://www.esl-lab.com/,ESL CYBER Listening Lab,👂🔈 Lots of listenings available by level with interactive quizzes and relative vocabulary,⭐⭐⭐⭐,listening
106,https://www.youtube.com/channel/UCLyr-hfWVCKHcZjV5fg3jbw/videos,YouTube – English Speeches,🧏🎬 Amazing YouTube Channel with lots of videos of English Speeches by Famous People with BIG Subtitles ,⭐⭐⭐⭐,listening
107,https://learnenglish.britishcouncil.org/general-english/audio-series/podcasts,British Council - Learn English - Podcasts,🚖 for A2 level and B1- from fictional drama and jokes to quizzes and language advice - with Transcripts! and Interactive Quizzes for each podcast episode,⭐⭐⭐⭐,listening
108,https://www.fluentu.com/blog/educator-english/esl-listening-activities/,FluentU - 40 ESL Listening Activities for 7 Learning Styles,,⭐⭐⭐,listening
109,https://www.learnenglishfeelgood.com/listening/index.html,Learn English Feel Good – Listening Comprehension,📻🎙️ 15 Spelling Practices – 20 Listening practices ,⭐⭐⭐,listening
110,https://englishlistenings.com/,English Listenings,🔊📣 Listening by level – topic – time – Cambridge listenings and TOEFL,⭐⭐⭐,listening
111,https://www.youtube.com/channel/UCCBR08dMtsbQn9qKxNMzZBA/videos,Speeches With Beautifully Animated Subtitles - YouTube,🦒 You have the change to Improve your Listening Comprehension while Reading the Big and Beautiful Subtitles of these videos,⭐⭐⭐,listening
112,https://www.bbc.co.uk/sounds/podcasts,BBC - Podcasts,🦘 For more Advanced learners,⭐⭐⭐,listening
113,https://www.ted.com/,Ted Talks,Practise listening using TED talks (higher levels),⭐⭐⭐,listening
